1,1,A,1,408
2,1,A,2,400
994,1,A,3,230
995,1,A,4,
996,1,A,5,
4,1,A,6,
3,1,A,7,
317,1,C,1,
318,1,C,2,
319,1,C,3,
320,1,C,4,
952,1,C,5,
321,1,C,6,
322,1,C,7,
359,1,C,8,
360,1,C,9,
361,1,C,10,
362,1,C,11,
363,1,C,12,
364,1,C,13,
365,1,C,14,
366,1,C,15,
367,1,C,16,
368,1,C,17,
369,1,C,18,
370,1,C,19,
371,1,C,20,
372,1,C,21,
373,1,C,22,
374,1,C,23,
375,1,C,24,
376,1,C,25,
377,1,C,26,
378,1,C,27,
379,1,C,28,
380,1,C,29,
381,1,C,30,
382,1,C,31,
383,1,C,32,
384,1,C,33,
385,1,C,34,
323,1,C,35,
324,1,C,36,
386,1,D,1,
387,1,D,2,
388,1,D,3,
389,1,D,4,
390,1,D,5,
391,1,D,6,
392,1,D,7,
393,1,D,8,
394,1,D,9,
395,1,D,10,
396,1,D,11,
397,1,D,12,
805,1,D,13,
806,1,D,14,
807,1,D,15,
355,1,D,16,
356,1,D,17,
357,1,D,18,
358,1,D,19,
949,1,E,1,
950,1,E,2,
951,1,E,3,
341,1,E,4,
342,1,E,5,
343,1,E,6,
344,1,E,7,
345,1,E,8,
346,1,E,9,
347,1,E,10,
348,1,E,11,
349,1,E,12,
506,1,E,13,
941,1,E,14,
504,1,E,15,
939,1,E,16,
940,1,E,17,
505,1,E,18,
907,1,E,19,
937,1,E,20,
938,1,E,21,
679,1,E,22,
894,1,E,23,
935,1,E,24,
936,1,E,25,
497,1,E,26,
402,1,F,1,
403,1,F,2,
404,1,F,3,
405,1,F,4,
406,1,F,5,
407,1,F,6,
408,1,F,7,
409,1,F,8,
410,1,F,9,
411,1,F,10,
412,1,F,11,
413,1,F,12,
414,1,F,13,
415,1,F,14,
416,1,F,15,
417,1,F,16,
418,1,F,17,
419,1,F,18,
420,1,F,19,
421,1,F,20,
462,1,G,2,
463,1,G,3,
468,1,G,3,
464,1,G,4,
465,1,G,5,
467,1,G,7,
466,1,G,8,
461,1,G,19,
325,1,H,1,
326,1,H,2,
445,1,H,3,
446,1,H,4,
447,1,H,5,
448,1,H,6,
449,1,H,7,
450,1,H,8,
451,1,H,9,
452,1,H,10,
453,1,H,11,
454,1,H,12,
455,1,H,13,
456,1,H,14,
457,1,H,15,
458,1,H,16,
459,1,H,17,
460,1,H,18,
489,1,J,1,
490,1,J,2,
491,1,J,3,
469,1,J,4,
470,1,J,5,
471,1,J,6,
472,1,J,7,
473,1,J,8,
474,1,J,9,
475,1,J,10,
422,1,K,1,
423,1,K,2,
424,1,K,3,
425,1,K,4,
426,1,K,5,
427,1,K,6,
428,1,K,7,
429,1,K,8,
430,1,K,9,
431,1,K,10,
432,1,K,11,
433,1,L,1,
434,1,L,2,
435,1,L,3,
436,1,L,4,
437,1,L,5,
438,1,L,6,
439,1,L,7,
440,1,L,8,
441,1,L,9,
442,1,L,10,
443,1,L,11,
444,1,L,12,
477,2,B,0,
478,2,B,0,
479,2,C,0,
480,2,C,0,
481,2,C,0,
488,2,D,0,
486,2,D,0,
487,2,D,0,
482,2,D,0,
483,2,D,0,
484,2,D,0,
485,2,D,0,
494,3,A,1,
493,3,A,2,
492,3,A,3,
496,3,A,4,
495,3,A,5,
492,4,A,6,
494,4,A,7,
493,4,A,8,
495,4,A,9,
496,4,A,10,
317,5,A,1,
318,5,A,2,
319,5,A,3,
320,5,A,4,
952,5,A,5,
321,5,A,6,
322,5,A,7,
328,5,A,8,
329,5,A,9,
330,5,A,10,
316,5,A,11,
323,5,A,12,
324,5,A,13,
949,5,A,14,
950,5,A,15,
951,5,A,16,
398,5,B,1,
399,5,B,2,
400,5,B,3,
401,5,B,4,
478,5,D,0,
477,5,D,0,
476,5,D,0,
479,5,E,0,
481,5,E,0,
480,5,E,0,
948,5,J,1,
350,5,J,2,
351,5,J,3,
945,5,J,4,
331,5,J,5,
332,5,J,6,
802,5,J,7,
803,5,J,8,
804,5,J,9,
352,5,J,10,
327,5,K,1,
485,5,R,0,
484,5,R,0,
483,5,R,0,
487,5,R,0,
486,5,R,0,
488,5,R,0,
482,5,R,10,
815,5,T,1,
816,5,T,2,
817,5,T,3,
818,5,T,4,
819,5,T,5,
820,5,T,6,
821,5,T,7,
823,6,A,10,
824,6,A,10,
825,6,A,11,
826,6,A,11,
827,6,A,12,
828,6,A,12,
829,6,A,12,
2,6,B,1,
525,6,B,2,
526,6,B,3,
527,6,B,4,
1,6,B,5,
